run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789738839,rnd_task_001,robot_1,South,South,24.94,2,0,0.46,4,1,0.05,0.0,3,28,0.069,68,253.84,249.84,500.0,3,521.0
run_1789738839,rnd_task_002,robot_2,North,North,35.25,2,1,0.46,4,1,0.06,0.16,7,59,0.104,114,550.5,546.5,500.0,6,906.2
run_1789738839,rnd_task_003,robot_3,South,North,85.6,4,2,0.46,4,2,0.13,0.05,5,47,0.098,94,430.7,426.7,500.0,4,733.8
run_1789738839,rnd_task_004,robot_4,North,North,30.2,2,1,0.46,4,1,0.1,0.1,5,47,0.092,89,510.98,506.98,500.0,5,758.4
run_1789738839,rnd_task_005,robot_1,North,South,50.67,4,2,0.46,4,2,0.04,0.25,8,48,0.089,94,539.56,535.56,500.0,6,811.6
run_1789738839,rnd_task_006,robot_3,North,South,65.89,4,2,0.46,4,2,0.1,0.3,6,36,0.085,64,391.0,387.0,500.0,6,662.0
run_1789738839,rnd_task_007,robot_4,South,North,66.35,4,2,0.46,4,2,0.06,0.11,10,59,0.09,161,692.88,688.88,500.0,7,996.2
run_1789738839,rnd_task_008,robot_2,North,South,91.22,4,2,0.46,4,2,0.12,0.23,6,40,0.071,143,418.38,414.38,500.0,5,787.0
run_1789738839,rnd_task_009,robot_1,North,Central,64.69,4,2,0.46,4,2,0.06,0.08,7,42,0.097,108,422.88,418.88,500.0,6,640.9
run_1789738839,rnd_task_010,robot_3,Central,North,100.1,4,2,0.46,4,2,0.06,0.14,7,47,0.094,90,292.9,288.9,500.0,6,744.0
run_1789738839,rnd_task_011,robot_2,South,North,73.22,4,2,0.46,4,2,0.0,0.18,8,43,0.086,28,334.88,330.88,500.0,7,767.2
run_1789738839,rnd_task_012,robot_4,Central,North,0.97,0,2,0.46,4,2,0.05,0.13,8,37,0.094,28,402.9,398.9,500.0,5,615.4
run_1789738839,rnd_task_013,robot_1,North,South,6.13,1,2,0.46,4,2,0.01,0.0,7,36,0.073,44,499.7,495.7,500.0,6,711.6
run_1789738839,rnd_task_014,robot_3,North,North,53.01,2,1,0.46,4,1,0.01,0.0,5,30,0.061,67,328.24,324.24,500.0,6,691.0
run_1789738839,rnd_task_015,robot_4,South,North,82.81,4,2,0.46,4,2,0.02,0.32,10,82,0.099,78,845.66,841.66,500.0,8,1277.36
run_1789738839,rnd_task_016,robot_2,North,South,0.67,0,2,0.46,4,2,0.02,0.0,6,35,0.106,44,332.54,328.54,500.0,5,491.8
run_1789738839,rnd_task_017,robot_1,South,North,97.33,4,2,0.46,4,2,0.06,0.05,10,95,0.123,92,698.92,694.92,500.0,6,1187.4
run_1789738839,rnd_task_018,robot_3,Central,South,57.08,2,1,0.46,4,2,0.01,0.0,4,44,0.095,29,315.74,311.74,500.0,4,651.2
run_1789738839,rnd_task_019,robot_2,Central,Central,78.22,4,2,0.46,4,1,0.02,0.0,5,42,0.093,32,295.86,291.86,500.0,4,666.6
run_1789738839,rnd_task_020,robot_3,South,South,0.85,0,0,0.46,4,1,0.0,0.18,6,40,0.189,35,62.66,58.66,500.0,3,306.8
run_1789739898,rnd_task_001,robot_4,North,North,22.26,2,1,0.46,4,1,0.07,0.04,4,29,0.076,90,358.8,354.8,500.0,4,551.4
run_1789739898,rnd_task_002,robot_3,South,North,52.36,4,2,0.46,4,2,0.07,0.03,6,47,0.09,97,425.3,421.3,500.0,6,757.0
run_1789739898,rnd_task_003,robot_1,Central,Central,0.51,0,0,0.46,4,1,0.11,0.02,4,21,0.07,79,239.64,235.64,500.0,3,398.6
run_1789739898,rnd_task_004,robot_2,Central,South,69.97,4,2,0.46,4,2,0.08,0.02,5,35,0.087,87,477.42,473.42,500.0,5,641.18
run_1789739898,rnd_task_005,robot_1,North,Central,6.0,1,2,0.46,4,2,0.05,0.0,8,61,0.084,166,671.5,667.5,500.0,8,1148.62
run_1789739898,rnd_task_006,robot_4,North,North,35.25,2,1,0.46,4,1,0.07,0.08,5,41,0.094,114,316.06,312.06,500.0,5,661.06
run_1789739898,rnd_task_007,robot_2,North,South,6.0,0,2,0.46,4,2,0.06,0.02,6,43,0.076,152,701.94,697.94,500.0,6,896.66
run_1789739898,rnd_task_008,robot_3,North,North,29.54,2,1,0.46,4,1,0.09,0.0,3,24,0.069,107,232.5,228.5,500.0,4,466.0
run_1789739898,rnd_task_009,robot_4,North,South,66.1,4,2,0.46,4,2,0.12,0.08,7,42,0.075,71,680.36,676.36,500.0,7,902.6
run_1789739898,rnd_task_010,robot_3,South,North,6.0,0,2,0.46,4,2,0.1,0.11,5,36,0.066,70,580.52,576.52,500.0,5,786.6
run_1789739898,rnd_task_011,robot_1,South,North,66.86,4,2,0.46,4,2,0.02,0.01,6,38,0.083,30,392.66,388.66,500.0,6,676.22
