run_id,task_id,robot_id,start_zone,goal_zone,static_path_length_m,turn_count,junction_crossings_count,nominal_speed_mps,fleet_size,candidate_corridor_count,mean_nearby_robot_count,avg_nearby_robot_speed_mps,max_corridor_queue_length,reservation_count,corridor_occupancy_ratio,active_blockage_count,waiting_time_s,total_stop_time_s,mean_peer_freshness_ms,task_load_count,actual_travel_time_s
run_1789739898,rnd_task_001,robot_4,North,North,22.26,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,358.8,354.8,500.0,0,551.4
run_1789739898,rnd_task_002,robot_3,South,North,52.36,4,2,0.46,4,2,1.0,0.0,0,0,0.0,0,425.3,421.3,500.0,1,757.0
run_1789739898,rnd_task_003,robot_1,Central,Central,42.28,2,0,0.46,4,1,1.0,0.0,0,0,0.0,0,239.64,235.64,500.0,2,398.6
run_1789739898,rnd_task_004,robot_2,Central,South,69.97,4,2,0.46,4,2,1.0,0.17,0,0,0.0,0,477.42,473.42,500.0,3,641.18
run_1789739898,rnd_task_005,robot_1,North,Central,81.91,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,671.5,667.5,500.0,3,1148.62
run_1789739898,rnd_task_006,robot_4,North,North,35.25,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,316.06,312.06,500.0,3,661.06
run_1789739898,rnd_task_007,robot_2,North,South,68.9,4,2,0.46,4,2,0.0,0.18,3,5,0.8,0,701.94,697.94,500.0,3,896.66
run_1789739898,rnd_task_008,robot_3,North,North,29.54,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,232.5,228.5,500.0,3,466.0
run_1789739898,rnd_task_009,robot_4,North,South,66.1,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,680.36,676.36,500.0,3,902.6
run_1789739898,rnd_task_010,robot_3,South,North,48.14,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,580.52,576.52,500.0,3,786.6
run_1789739898,rnd_task_011,robot_1,South,North,66.86,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,392.66,388.66,500.0,2,676.22
run_1789739898,rnd_task_012,robot_2,Central,South,74.38,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,353.04,349.04,500.0,3,592.6
run_1789739898,rnd_task_013,robot_3,North,North,21.6,2,0,0.46,4,1,0.0,0.18,0,0,0.0,0,410.66,406.66,500.0,3,647.38
run_1789739898,rnd_task_014,robot_4,South,North,79.73,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,440.1,436.1,500.0,3,899.16
run_1789739898,rnd_task_015,robot_2,Central,North,85.1,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,349.0,345.0,500.0,3,661.6
run_1789739898,rnd_task_016,robot_1,South,South,47.38,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,394.26,390.26,500.0,3,810.6
run_1789739898,rnd_task_017,robot_3,North,North,8.95,2,0,0.46,4,1,0.0,0.18,0,0,0.0,0,191.46,187.46,500.0,3,479.2
run_1789739898,rnd_task_018,robot_2,Central,South,73.25,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,197.46,193.46,500.0,3,313.2
run_1789739898,rnd_task_019,robot_4,North,North,37.05,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,138.6,134.6,500.0,3,351.68
run_1789739898,rnd_task_020,robot_1,Central,Central,98.97,4,2,0.46,4,1,0.0,0.18,0,0,0.0,0,206.5,202.5,500.0,3,478.4
run_1789738839,rnd_task_001,robot_1,South,South,24.94,2,0,0.46,4,1,1.0,0.0,0,0,0.0,0,253.84,249.84,500.0,0,521.0
run_1789738839,rnd_task_002,robot_2,North,North,35.25,2,1,0.46,4,1,1.5,0.0,0,0,0.0,0,550.5,546.5,500.0,1,906.2
run_1789738839,rnd_task_003,robot_3,South,North,85.6,4,2,0.46,4,2,1.0,0.0,0,0,0.0,1,430.7,426.7,500.0,2,733.8
run_1789738839,rnd_task_004,robot_4,North,North,30.2,2,1,0.46,4,1,0.0,0.18,0,0,0.0,0,510.98,506.98,500.0,3,758.4
run_1789738839,rnd_task_005,robot_1,North,South,50.67,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,539.56,535.56,500.0,3,811.6
run_1789738839,rnd_task_006,robot_3,North,South,65.89,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,391.0,387.0,500.0,3,662.0
run_1789738839,rnd_task_007,robot_4,South,North,66.35,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,692.88,688.88,500.0,3,996.2
run_1789738839,rnd_task_008,robot_2,North,South,91.22,4,2,0.46,4,2,0.0,0.18,1,1,0.2,0,418.38,414.38,500.0,3,787.0
run_1789738839,rnd_task_009,robot_1,North,Central,64.69,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,422.88,418.88,500.0,3,640.9
run_1789738839,rnd_task_010,robot_3,Central,North,100.1,4,2,0.46,4,2,0.0,0.18,0,0,0.0,1,292.9,288.9,500.0,3,744.0
run_1789738839,rnd_task_011,robot_2,South,North,73.22,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,334.88,330.88,500.0,3,767.2
run_1789738839,rnd_task_012,robot_4,Central,North,31.22,2,0,0.46,4,2,0.0,0.18,0,0,0.0,0,402.9,398.9,500.0,3,615.4
run_1789738839,rnd_task_013,robot_1,North,South,43.19,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,499.7,495.7,500.0,3,711.6
run_1789738839,rnd_task_014,robot_3,North,North,53.01,2,1,0.46,4,1,0.0,0.18,1,1,0.2,0,328.24,324.24,500.0,3,691.0
run_1789738839,rnd_task_015,robot_4,South,North,82.81,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,845.66,841.66,500.0,3,1277.36
run_1789738839,rnd_task_016,robot_2,North,South,59.88,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,332.54,328.54,500.0,3,491.8
run_1789738839,rnd_task_017,robot_1,South,North,97.33,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,698.92,694.92,500.0,3,1187.4
run_1789738839,rnd_task_018,robot_3,Central,South,57.08,2,1,0.46,4,2,0.0,0.18,3,4,0.6,0,315.74,311.74,500.0,3,651.2
run_1789738839,rnd_task_019,robot_2,Central,Central,78.22,4,2,0.46,4,1,0.0,0.18,0,0,0.0,0,295.86,291.86,500.0,3,666.6
run_1789738839,rnd_task_020,robot_3,South,South,22.15,2,0,0.46,4,1,0.0,0.18,0,0,0.0,0,62.66,58.66,500.0,3,306.8
run_1789741812,rnd_task_001,robot_1,North,South,81.52,4,2,0.46,4,2,0.5,0.0,0,0,0.0,0,655.4,651.4,500.0,0,1053.4
run_1789741812,rnd_task_002,robot_4,North,South,95.29,4,2,0.46,4,2,1.5,0.0,0,0,0.0,0,709.36,705.36,500.0,1,1098.2
run_1789741812,rnd_task_003,robot_2,South,North,63.78,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,390.18,386.18,500.0,2,696.0
run_1789741812,rnd_task_004,robot_3,Central,South,93.74,4,2,0.46,4,2,0.5,0.01,0,0,0.0,0,466.94,462.94,500.0,3,842.4
run_1789741812,rnd_task_005,robot_2,South,South,14.75,2,0,0.46,4,1,0.0,0.18,0,0,0.0,0,417.44,413.44,500.0,3,674.8
run_1789741812,rnd_task_006,robot_3,South,North,70.84,4,2,0.46,4,2,0.0,0.18,0,0,0.0,0,668.54,664.54,500.0,3,1022.78
run_1789741812,rnd_task_007,robot_1,Central,North,30.81,2,0,0.46,4,2,0.0,0.18,0,0,0.0,0,379.14,375.14,500.0,3,661.4
